#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:firsthalf" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:firsthalf" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:firsthalf">
#                <taxonset id="TaxonSet.firsthalf" spec="beast.evolution.alignment.TaxonSet">
#                    <alignment filter="1-449" id="firsthalf" spec="beast.evolution.alignment.FilteredAlignment">
#                    </alignment>
#                </taxonset>
#            </tree>
#        </distribution>
#        <distribution id="BMT_PropInvariablePrior.s:firsthalf" spec="beast.math.distributions.BMTPrior">
#            <count id="hasInvariableSites.s:firsthalf" spec="beast.core.parameter.IntegerParameter">1</count>
#            <parameter id="BMT_ProportionInvariable.s:firsthalf" lower="0.0" name="x" upper="1.0">0.1</parameter>
#            <Beta id="Beta.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="alpha" upper="0.0">1.0</parameter>
#                <parameter id="RealParameter.01" lower="0.0" name="beta" upper="0.0">4.0</parameter>
#            </Beta>
#        </distribution>
#        <distribution id="BMT_RatesPrior.s:firsthalf" spec="beast.math.distributions.NucleotideRevJumpSubstModelRatePrior">
#            <modelIndicator id="BMT_ModelIndicator.s:firsthalf" lower="0" spec="beast.core.parameter.IntegerParameter" upper="5">5</modelIndicator>
#            <substModel id="RevJump.s:firsthalf" modelIndicator="@BMT_ModelIndicator.s:firsthalf" spec="beast.evolution.substitutionmodel.NucleotideRevJumpSubstModel">
#                <parameter dimension="6" id="BMT_Rates.s:firsthalf" lower="0.01" name="rates" upper="100.0">1.0</parameter>
#                <frequencies empirical="false" id="BMTfreqs.s:firsthalf" spec="beast.evolution.substitutionmodel.ModelFrequencies">
#                    <hasEqualFreqs id="hasEqualFreqs.s:firsthalf" spec="beast.core.parameter.BooleanParameter">false</hasEqualFreqs>
#                    <parameter dimension="4" id="BMT_frequencies.s:firsthalf" name="frequencies">0.25 0.25 0.25 0.25</parameter>
#                </frequencies>
#            </substModel>
#            <parameter idref="BMT_Rates.s:firsthalf" name="x"/>
#            <Exponential id="BMT_RatesPrior.s:firsthalfx" name="distr"/>
#        </distribution>
#        <prior id="BMT_freqsPrior.s:firsthalf" name="distribution" x="@BMT_frequencies.s:firsthalf">
#            <distr id="Dirichlet.0" spec="beast.math.distributions.Dirichlet">
#                <parameter dimension="4" id="RealParameter.02" lower="0.0" name="alpha" upper="0.0">1.0 1.0 1.0 1.0</parameter>
#            </distr>
#        </prior>
#        <distribution id="BMT_GammaShapePrior.s:firsthalf" spec="beast.math.distributions.BMTPrior">
#            <count id="hasGammaRates.s:firsthalf" spec="beast.core.parameter.IntegerParameter">1</count>
#            <parameter id="BMT_gammaShape.s:firsthalf" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.03" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:firsthalf" name="distribution" x="@birthRate.t:firsthalf">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@firsthalf" id="treeLikelihood.firsthalf" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:firsthalf">
#            <siteModel gammaCategoryCount="4" hasGammaRates="@hasGammaRates.s:firsthalf" hasInvariantSites="@hasInvariableSites.s:firsthalf" id="BEASTModelTest.s:firsthalf" proportionInvariant="@BMT_ProportionInvariable.s:firsthalf" shape="@BMT_gammaShape.s:firsthalf" spec="beast.evolution.sitemodel.BEASTModelTestSiteModel" substModel="@RevJump.s:firsthalf">
#                <parameter estimate="false" id="BMT_mutationRate.s:firsthalf" name="mutationRate">1.0</parameter>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:firsthalf" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:firsthalf" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#        <distribution branchRateModel="@StrictClock.c:firsthalf" id="treeLikelihood.secondhalf" siteModel="@BEASTModelTest.s:firsthalf" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:firsthalf">
#            <data data="@Primates" filter="450-898" id="secondhalf" spec="beast.evolution.alignment.FilteredAlignment"/>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.firsthalf	treeLikelihood.secondhalf	TreeHeight	YuleModel	birthRate	rateAC	rateAG	rateAT	rateCG	rateCT	rateGT	substmodel	BMT_ModelIndicator	BMT_Rates.1	BMT_Rates.2	BMT_Rates.3	BMT_Rates.4	BMT_Rates.5	BMT_Rates.6	BMT_gammaShape	BMT_ProportionInvariable	hasGammaRates	hasInvariableSites	ActivePropInvariable	ActiveGammaShape	hasEqualFreqs	BMT_frequencies.1	BMT_frequencies.2	BMT_frequencies.3	BMT_frequencies.4
0	-10051.544470974226	-10041.115323510241	-10.42914746398575	-4966.0738209317415	-5075.0415025785	3.0516431517132805	-8.829037662841337	1.0	1.0	1.0	1.0	1.0	1.0	1.0	121321	5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.1	1	1	0.1	1.0	0	0.25	0.25	0.25	0.25
1000	-6167.368989508294	-6171.697763555556	4.328774047261155	-3125.9581233990134	-3045.7396401565425	0.36035808652875595	7.294104562198546	6.193932168287731	0.7715779206991348	1.260202176536044	0.30074149019430046	0.20169955783269022	1.260202176536044	2.2055766782017865	123425	26	0.7715779206991348	1.260202176536044	0.30074149019430046	0.20169955783269022	2.2055766782017865	1.0	0.748317957246951	0.1110120802054085	1	1	0.1110120802054085	0.748317957246951	0	0.25	0.25	0.25	0.25
2000	-6029.324350731288	-6033.5567168606785	4.232366129390107	-3057.243534502151	-2976.3131823585277	0.3492064233476696	7.41126607224208	4.6829535223731	0.48045665600521786	0.959463166225276	1.2061937045833304	0.12501794783558076	2.0226748207672647	1.2061937045833304	123453	28	0.48045665600521786	0.959463166225276	1.2061937045833304	0.12501794783558076	2.0226748207672647	2.108139032824567	0.748317957246951	0.14637059342306669	1	1	0.14637059342306669	0.748317957246951	0	0.25	0.25	0.24783091676046293	0.2521690832395371
3000	-6010.475039812535	-6015.794088633998	5.319048821463491	-3047.2802391286205	-2968.5138495053784	0.3074324064287796	8.971647070913328	7.830593401981265	0.48045665600521786	0.959463166225276	1.2061937045833304	0.03143423045123299	2.1162585381516124	1.2061937045833304	123453	28	0.48045665600521786	0.959463166225276	1.2061937045833304	0.03143423045123299	2.1162585381516124	2.108139032824567	1.0772596953389655	0.20169327379043675	1	1	0.20169327379043675	1.0772596953389655	0	0.25	0.25	0.24783091676046293	0.2521690832395371
4000	-5979.83779570414	-5984.369267258563	4.531471554422634	-3031.489580676132	-2952.879686582431	0.2987247886559755	9.019168085778663	5.09062062381781	0.48045665600521786	1.2499576075583343	1.4607313240170463	0.03143423045123299	2.1162585381516124	0.6611616438165565	123456	30	0.48045665600521786	1.2499576075583343	1.4607313240170463	0.03143423045123299	2.1162585381516124	0.6611616438165565	0.8860609997769944	0.20169327379043675	1	1	0.20169327379043675	0.8860609997769944	0	0.25343158527800713	0.25	0.24783091676046293	0.2487374979615299
5000	-5905.801095808695	-5911.716386561204	5.915290752508395	-2998.338546849536	-2913.3778397116675	0.28365602182710625	9.369700794735198	7.67758309743452	1.124136190844635	1.3078077232944814	1.124136190844635	0.03143423045123299	2.2324274851483574	0.18005817941665858	121345	10	1.124136190844635	1.3078077232944814	0.03143423045123299	2.2324274851483574	0.18005817941665858	0.6611616438165565	1.1802642501584861	0.17503934822175876	1	1	0.17503934822175876	1.1802642501584861	0	0.25343158527800713	0.25	0.24614803255130507	0.25042038217068774
6000	-5884.743353732951	-5890.3098779489865	5.566524216036002	-2987.443772926375	-2902.866105022612	0.2623697932202051	9.891365751276838	4.77900071043304	1.385710507637101	1.4444339305079232	0.7213536728384408	0.10803720193408897	2.2324274851483574	0.10803720193408897	123454	29	1.385710507637101	1.4444339305079232	0.7213536728384408	0.10803720193408897	2.2324274851483574	0.07402390011584739	1.1802642501584861	0.15695953095870102	1	1	0.15695953095870102	1.1802642501584861	0	0.25343158527800713	0.25	0.23777871638090486	0.25878969834108795
7000	-5858.905630748515	-5863.436314534604	4.530683786089294	-2972.107211789964	-2891.3291027446403	0.26744042513141725	9.15980282839022	10.52275090950698	1.3005567301706806	1.5184440995460524	0.6345770636281727	0.07205594333119525	2.402310219992704	0.07205594333119525	123454	29	1.3005567301706806	1.5184440995460524	0.6345770636281727	0.07205594333119525	2.402310219992704	0.07402390011584739	1.4807341229119793	0.1887597263242495	1	1	0.1887597263242495	1.4807341229119793	0	0.25343158527800713	0.25	0.23777871638090486	0.25878969834108795
8000	-5861.912427280004	-5868.003074935477	6.090647655473674	-2973.0553087333997	-2894.947766202077	0.21112423126982663	11.439569774718485	8.886311212751178	1.2323558945756998	1.5979215582245982	0.5802151752473994	0.06623330633002072	2.457040759292261	0.06623330633002072	123454	29	1.2323558945756998	1.5979215582245982	0.5802151752473994	0.06623330633002072	2.457040759292261	0.07402390011584739	2.028009745617504	0.2529179891911505	1	1	0.2529179891911505	2.028009745617504	0	0.2519232459483753	0.25150833932963185	0.23777871638090486	0.25878969834108795
9000	-5833.971008769772	-5838.948247315004	4.977238545231733	-2960.7832356858903	-2878.1650116291135	0.2631445435658062	10.412578199224955	6.1306119099643315	1.0601432983329846	1.6446457660262324	0.5239963790131819	0.04808073644335388	2.6750530837408935	0.04808073644335388	123454	29	1.0601432983329846	1.6446457660262324	0.5239963790131819	0.04808073644335388	2.6750530837408935	0.07402390011584739	2.259897527981096	0.2529179891911505	1	1	0.2529179891911505	2.259897527981096	0	0.25597985024893005	0.24745173502907705	0.23777871638090486	0.25878969834108795
